UserID,Name,Surname,Email,Gender,Race,Age,Province,Social Media Handle
34,Chasÿ,Biggers,Chasÿ351@yahoo.com,male,white,55,Free State,@Chasÿ35
39,Wilburnÿ,Crotty,Wilburnÿ303@mail.com,male,black,54,Eastern Cape,@Wilburnÿ30
63,Emersonÿ,Slane,Emersonÿ243@mail.com,male,black,51,Kwazulu Natal,@Emersonÿ24
90,Stacyÿ,Sytsma,Stacyÿ273@mail.com,male,coloured,49,Kwazulu Natal,@Stacyÿ27
97,Lucasÿ,Woolard,Lucasÿ233@mail.com,male,coloured,48,Free State,@Lucasÿ23
104,Randyÿ,Tancredi,Randyÿ393@mail.com,male,black,47,Gauteng,@Randyÿ39
107,Trudieÿ,Restivo,Trudieÿ502@gmail.com,female,black,47,Gauteng,@Trudieÿ50
108,Chasÿ,Luthy,Chasÿ352@gmail.com,male,coloured,47,Western Cape,@Chasÿ35
120,Jaredÿ,Bilyeu,Jaredÿ503@mail.com,male,coloured,46,Western Cape,@Jaredÿ50
132,Carterÿ,Wigfall,Carterÿ33@mail.com,male,black,45,Gauteng,@Carterÿ3
135,Emersonÿ,Beville,Emersonÿ241@yahoo.com,male,other,45,Gauteng,@Emersonÿ24
138,Abelÿ,Hier,Abelÿ185@mailxyz.com,male,None,45,Eastern Cape,@Abelÿ18
146,Filibertoÿ,Jacox,Filibertoÿ43@mail.com,male,None,45,Western Cape,@Filibertoÿ4
164,Claudÿ,Borelli,Claudÿ345@mailxyz.com,male,black,43,Gauteng,@Claudÿ34
206,Valentineÿ,Tatham,Valentineÿ471@yahoo.com,male,coloured,42,Free State,@Valentineÿ47
212,Kyleÿ,Martello,Kyleÿ63@mail.com,male,black,41,Gauteng,@Kyleÿ6
249,Markusÿ,Wigfall,Markusÿ192@gmail.com,male,black,40,Gauteng,@Markusÿ19
305,Jacintoÿ,Hier,Jacintoÿ254@abcmail.com,male,black,39,Eastern Cape,@Jacintoÿ25
317,Laneÿ,Hier,Laneÿ111@yahoo.com,male,black,38,North West,@Laneÿ11
325,Torrieÿ,Mcclaine,Torrieÿ71@yahoo.com,female,black,38,Gauteng,@Torrieÿ7
338,Irvingÿ,Vital,Irvingÿ51@yahoo.com,male,black,38,Limpopo,@Irvingÿ5
345,Earlÿ,Mcclaine,Earlÿ423@mail.com,male,black,38,Gauteng,@Earlÿ42
385,Robbyÿ,Slane,Robbyÿ165@mailxyz.com,male,black,37,Gauteng,@Robbyÿ16
444,Kyleÿ,Mcculloch,Kyleÿ65@mailxyz.com,male,black,35,Gauteng,@Kyleÿ6
450,Malikaÿ,Sieren,Malikaÿ84@abcmail.com,female,None,35,Eastern Cape,@Malikaÿ8
464,Luannaÿ,Hoadley,Luannaÿ352@gmail.com,female,black,35,Gauteng,@Luannaÿ35
468,Shandraÿ,Mccollum,Shandraÿ483@mail.com,female,black,34,Kwazulu Natal,@Shandraÿ48
476,Hollisÿ,Mcculloch,Hollisÿ381@yahoo.com,male,black,34,Mpumalanga,@Hollisÿ38
477,Hymanÿ,Condie,Hymanÿ85@mailxyz.com,male,black,34,North West,@Hymanÿ8
479,Hollisÿ,Beville,Hollisÿ384@abcmail.com,male,black,34,Gauteng,@Hollisÿ38
483,Hymanÿ,Lavoie,Hymanÿ83@mail.com,male,coloured,34,Western Cape,@Hymanÿ8
507,Loydÿ,Lavoie,Loydÿ491@yahoo.com,male,black,34,Gauteng,@Loydÿ49
537,Romeoÿ,Lavoie,Romeoÿ371@yahoo.com,male,coloured,33,Gauteng,@Romeoÿ37
547,Donaldÿ,Mcclaine,Donaldÿ225@mailxyz.com,male,indian_asian,33,Gauteng,@Donaldÿ22
551,Lucasÿ,Lavoie,Lucasÿ233@mail.com,male,black,33,Limpopo,@Lucasÿ23
553,Stacyÿ,Condie,Stacyÿ274@abcmail.com,male,white,33,Limpopo,@Stacyÿ27
623,Royalÿ,Biggers,Royalÿ172@gmail.com,male,black,31,Gauteng,@Royalÿ17
649,Bretÿ,Gettys,Bretÿ313@mail.com,male,black,31,Mpumalanga,@Bretÿ31
655,Hugh,Mcculloch,Hugh15@mailxyz.com,male,white,31,Gauteng,@Hugh1
666,Codyÿ,Luthy,Codyÿ123@mail.com,male,coloured,31,Mpumalanga,@Codyÿ12
675,Lillieÿ,Langenfeld,Lillieÿ231@yahoo.com,female,black,31,Gauteng,@Lillieÿ23
682,Abelÿ,Slane,Abelÿ185@mailxyz.com,male,black,30,Gauteng,@Abelÿ18
696,Shelleyÿ,Reisinger,Shelleyÿ434@abcmail.com,female,white,30,Gauteng,@Shelleyÿ43
701,Trudieÿ,Restivo,Trudieÿ183@mail.com,female,black,30,Gauteng,@Trudieÿ18
775,Anetteÿ,Leicht,Anetteÿ394@abcmail.com,female,coloured,29,Gauteng,@Anetteÿ39
805,Cordieÿ,Singer,Cordieÿ331@yahoo.com,female,white,29,Gauteng,@Cordieÿ33
806,Michelÿ,Holt,Michelÿ203@mail.com,male,indian_asian,29,Gauteng,@Michelÿ20
830,Yongÿ,Luthy,Yongÿ484@abcmail.com,male,black,28,Northern Cape,@Yongÿ48
850,Romeoÿ,Crotty,Romeoÿ373@mail.com,male,coloured,28,Western Cape,@Romeoÿ37
854,Eliÿ,Mastrangelo,Eliÿ295@mailxyz.com,male,black,28,Free State,@Eliÿ29
857,Deeÿ,Borelli,Deeÿ213@mail.com,male,black,28,Eastern Cape,@Deeÿ21
864,Emilieÿ,Deblois,Emilieÿ312@gmail.com,female,None,28,Western Cape,@Emilieÿ31
867,Jacintoÿ,Jacox,Jacintoÿ255@mailxyz.com,male,white,28,North West,@Jacintoÿ25
870,Bretÿ,Roquemore,Bretÿ312@gmail.com,male,white,28,Free State,@Bretÿ31
876,Abelÿ,Sytsma,Abelÿ183@mail.com,male,black,28,Kwazulu Natal,@Abelÿ18
909,Artÿ,Gettys,Artÿ405@mailxyz.com,male,black,27,Kwazulu Natal,@Artÿ40
